Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
NOVA R6,"Ruide Surveying Instrument Co., Ltd.",NA,NA,2015,0.112,0.129,0.129,0.97,Magnesium aluminum alloy,,7.4,12,2,Removable 7.4V; 3400mAh Li-on battery,NA,6,CE; FCC,NA,NA,,-45,60,Non-condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,NA,NA,,220,220,"GPS L1C/A; L1C; L2C; L2E; L5
GLONASS L1C/A; L1P; L2C/A; L2P; L3
BDS B1; B2; B3
SBAS L1C/A; L5 (only for satellites supporting L5)
GALILEO GIOVE-A; GIOVE-B; E1; E5A; E5B",GZSS; WAAS; MSAS; EGNOS; GAGAN; SBAS,C/A; P code; C code,1,Y,NA,,0.25,1,0.0025,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; PRS; RTCM3,,Internal,4096,Binary,Qwerty keyboard,,"5pin LEMO external power port + RS232
7pin LEMO RS232 + USB
Network/radio data link antenna port
SIM card slot",Y,N,Y,,Internal and External,Internal,Internal,NA,,Version 2.1; 2.3; 3.0; 3.1; 3.2,CMR+; CMRx,SCMRX; RTD,GGA; GSA; GST; GSV; ZDA,NA,L1; L2,PC software; Controller,,"Intelligent: power management; self-inspection; voice broadcast.
Tilt Survey.
E-bubble.
Supports TrimTalk 450s; TrimMark3 and SOUTH protocols.
NFC."
R90-T,"Ruide Surveying Instrument Co., Ltd.",NA,NA,2009,0.096,0.184,0.184,1.2,Plastic,,7.4,7.4,3.8,Removable 7.4V; 2500mAh Li-on battery,12-15V DC,10,CE,N/A,Available,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,GPS; Simultaneous L1 C/A; L2E; L2C; L5; GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; SBAS: Simultaneous L1 C/A; L5; GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2; QZSS: L1 C/A; L1 SAIF; L2C; L5,SBAS,C/A; P code; C code,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; PRS; RTCM3,,Internal,64,Binary,Qwerty keyboard,,Standard USB2.0 port; RS-232 port,Y,N,Y,,Internal and External,Internal,Internal,None,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,SCMRX; RTD,GGA; GSA; GST; GSV; ZDA,N/A,L1; L2,PC software; Controller,,Supports Carlson SurvCE and Microsurvey FieldGenius.
R90-X,"Ruide Surveying Instrument Co., Ltd.",NA,NA,2013,0.096,0.184,0.184,1.2,Plastic,,7.4,7.4,2,Removable 7.4V; 2500mAh Li-on battery,12-15V DC,10,CE; FCC,N/A,Available,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,"GPS: L1 C/A; L2E; L2C; L5; 
GLONASS: L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; 
BEIDOU: B1; B2; 
SBAS: L1 C/A; L5; 
GALILEO: L1 BOC; E5A; E5B; E5AltBOC; 
QZSS: L1 C/A; L1 SAIF; L2C; L5",GPS; GLONASS; GALILEO; BEIDOU,C/A; P code; C code,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3,,Internal,4096,Binary,Qwerty keyboard,,Standard USB2.0 port; RS-232 port,Y,N,Y,,Internal and External,Internal,Internal,None,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,SCMRX; RTD,GGA; GSA; GST; GSV; ZDA,N/A,L1; L2,PC software; Controller,,MDS Internal radio adopts TRIMTALK protocol which enables R90-X to work with other receives with same protocol.
GNSS Board K108,"SunNav Technology Co., Ltd.",NA,NA,2015,0.012,0.1,0.06,0.04,plastic,,3.3,6,1.8,N,Y,NA,CE,N,N,,-40,85,95% Non-Condensation,N,Y,Y,Y,,198,198,"GPS L1;L2;L5 
BeiDou  B1; B2;B3 
GLONASS L1;L2 
SBAS WAAS; EGNOS; MSAS",WAAS; EGNOS; MASAS,C/A code; P code; Full Carrier Phase,2,Y,Y,,0.25,1,0.0025,1,0.01,1,0.0025,1,0.01,1,10,30,VRS;FKP;RTCM3,,Internal Flash Memory,100,Binary (compatible with major brands),Auto,,3 LV-TTL RS232 Ports -Baud rates up to 921;600 bps,Y,Y,Y,,N,External,External,External,,RTCM2.X; RTCM3.X,CMR/CMR+,Binary,NMEA0183,Binary,NA,CRU OEM Board Control Software,,"1.GPS L1/L2/L5+BeiDou B1/B2/B3+GLONASS L1/L2 triple satellite system calculating. 
2.Compatible with other major brands on physical size; interface and data command. 
3.Support short; middle and long base line; RTK working distance can reach 50KM."
iSXBlue II+ GNSS,GENEQ,NA,NA,2015,0.047,0.141,0.08,0.6,NYLON,,6.6,7.4,3.5,Y,N,9,FCC; CE; UNLEADED,EXTERNAL CHARGER,Y,,-40,85,95% non-condesing,IP 65,NA,Y,NA,,372,NA,"L1/G1; GPS + GLONASS with carrier smoothing
(BeiDou; Galileo and QZSS optional)",WAAS; EGNOS; MSAS; GAGAN; SBAS ranging,FULL WAVELENGTH CARRIER PHASE; C/A; P;C,1,Y,NA,,0.6,1,0.03,1,NA,NA,0.005,0.5,0.01,1,NA,NA,RTCM 2.3; RTCM 3.2; CMR; CMR+,,EXTERNAL,NA,NMEA 183; RTCM 104; Binary,NA,,RS-232C; USB 2.0,Y,Y,Y,,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,,RTCM 104,CMR; CMR+,NA,183,Binary,NA,PC software,,Apple product compatible
SXPRO RTK,GENEQ,NA,NA,2015,0.21,0.045,0.095,0.575,NA,,2.75,3.84,NA,Y,N,6,NA,EXTERNAL CHARGER,Y,,-20,60,95% non-condesing,IP 65,Method 514.5,NA,NA,,220,NA,"GPS L1 C/A; L2E; L2C
Glonass L1; L2 C/A
Galileo E12
QZSS L1 C/A; L1 SAIF; L2C",SBAS L1 C/A,FULL WAVELENGTH CARRIER PHASE; C/A; C,2,Y,NA,,0.25,1,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,RTCM 2.x; RTCM 3.x; CMR; CMR+; CMRx,,Y,8000,NMEA 183; RTCM 104,pen; keyboard; F1 and F2 keys,,"Internal microphone and speaker
Ficher to USB connector
Ficher to RS 232 connector
SIM socket
SDHC card socket",Y,NA,Y,,Internal,Internal,NA,NA,,RTCM 104,CMR; CMR+; CMRx,NA,183,NA,NA,NA,,"Rugged \""all-in-one\"" GNSS & RTK Data collector
Equipped with a 624 Mhz CPU processor; 256 MB DDR RAM on Windows Mobile 6.5
5.0 MPixel camera"
GNSS Receiver M100T,"SunNav Technology Co., Ltd.",NA,NA,2014,0.073,0.213,0.119,1.2,Rugged and Light-Weight High Performance Metal,,10.5,28,2.5,N,Y,NA,CE,N,Y,,-40,70,100% Non-Condensation,IP67; can float on the water,Survives a 2-meter drop on to concrete,Y,Y,,220,220,"GPS   L1 C/A; L2 E; L2 C; L5  
GLONASS   L1 C/A; L1 P; L2 C/A; L2 P; L1/L2   
SBAS   WAAS; EGNOS; MSAS  
Galileo and Compass   test",WAAS; EGNOS; MSAS,NA,10,Y,Y,,0.25,1,0.0025,1,0.01,1,0.0025,1,0.01,1,10,100,VRS; FKP; PRS; RTCM3,,Internal Flash Memory,100,ASCII: NMEA-0183  Binary: Trimble GSOF,Auto,,RS232; TCP/IP,Y,Y,N,,Internal,external,external,External,,RTCM2.X; RTCM3.X,CMR/CMR+,NA,NMEA-0183,Trimble GSOF,Y,web interface,,"1.With Trimble BD970 mother board; reserving 220 channels and Maxwell6 technology can   bring you an unparalleled experience. 

2.Maximum support 50Hz raw data and positioning data output."
GNSS RTK Receiver M5,"SunNav Technology Co., Ltd.",NA,NA,2015,0.44,0.53,0.25,10,plastic,,9,18,2.6,2200 mAH battery,VDC 9-18V,6,CE,Yes,No,,-40,65,100% condensation,IP67,survives a 2∂meter drop on to concrete,Y,Y,,220,220,"GPS L1/L2/L5
Glonass L1/L2
Beidou B1/B2 (Optional)
SBAS",WAAS; EGNOS; GAGAN; MSAS,C/A code; P code; C code,2,Y,Y,,NA,NA,NA,NA,0.01,0.5,0.003,0.5,NA,NA,NA,NA,VRS; FKP; PRS; RTCM3,,internal,4096,RINEX and HCN,pen; keys,,RS232 & USB,N,Y,Y,,Internal and external,Internal,NA,NA,,RTCM 2.1; 2.3; 3.0; 3.1; 3.2 input and output,CMR; CMR+; sCMRx input and output,NA,NMEA-0183 GSV; AVR; RMC; HDT; VGK; VHD; ROT; GGK;,NA,NA,NA,,NA
Vector VS330? GNSS Compass,Hemisphere GNSSˇ,NA,NA,2012,0.202,0.075,0.12,1.1,NA,,8,36,5.3,No,Yes,NA,CE; FCC; CISPR22,NA,NA,,-30,70,95,NA,EP455 Section 5.14.1,NA,NA,,270,NA,GPS; GLONASS; Galileo,WAAS; EGNOS; MSAS,L1/L2,15,Y,NA,,0.08,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,RTCM v2.3 (DGPS); RTCM v3 (RTK);,,external,NA,NA,NA,,"RS232
RS422",NA,N,N,,NA,No,No,NA,,RTCM v2.3 (DGPS); RTCM v3 (RTK),CMR; CMR+,NA,183,NA,Yes,NA,,NA
R330? GNSS Receiver,Hemisphere GNSSˇ,NA,NA,2013,0.178,0.046,0.12,0.645,NA,,8,36,5.3,NA,Yes,NA,CE; FCC; CISPR22,NA,NA,,-30,70,95% Non-Condensing,NA,EP455 Section 5.14.1 and EP455 Section 5.15.1,NA,NA,,270,NA,GPS; GLONASS AND BeiDou,WAAS; EGNOS; GAGAN; MSAS,L1/L2,15,Y,N,,0.3,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,,external,NA,NA,NA,,2  x RS232; 1 USB Host; 1 USB Device,NA,NA,N,,internal,NA,NA,NA,,v2.3 (DGPS),CMR; CMR+,NA,NMEA 0183,NA,yes,NA,,NA
Vector VS131 GNSS Compass,Hemisphere GNSSˇ,NA,NA,2012,0.202,0.075,0.12,1.1,NA,,8,36,4.5,No,Yes,NA,CE; FCC; CISPR22,NA,NA,,-30,70,95% Non-Condensing,NA,EP455 Section 5.14.1 and EP455 Section 5.15.1,NA,NA,,540,NA,GPS; GLONASS,WAAS; EGNOS; GAGAN; MSAS,NA,15,Y,N,,0.3,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,: RTCM SC-104; L-DifÉ?Ω 6 ; RTCM v2 (DGPS);  RTCM v3,,external,NA,NA,USB,,RS232,NA,NA,N,,NA,NA,NA,NA,,: RTCM SC-104; L-DifÉ?Ω 6 ; RTCM v2 (DGPS);  RTCM v3,CMR (RTK); CMR+ (RTK),NA,NMEA 0183,NA,Yes,NA,,NA
LNS-250 GNSS/DR Car Navigation Module,Galaxy Navigation Corp.,NA,NA,2014,0.012,0.05,0.07,0.025,NA,,5,5.25,0.5,None,Yes,NA,RoHS,No,odometer,,-10,70,95%,None,Y,Y,Y,,167,48,GPS(L1; C/A)); GLONASS(L1 C/A); BDS(L1; C/A),Y,C/A code,1,Y,N,,2.5,NA,NA,NA,NA,NA,2.5,NA,2.5,NA,20,12,N/A,,N/A,NA,UART,RS232,,UART,Y,Y,N,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,GPGGA;GPGSA;GPGSV;RMC;VTG,RS232,N/A,PC software,,"1. Sensors have temperature compensation and axis alignment calibration
2. Auto self-calibrate its attitude when the first time fixed and power on.
3. Time synchronization between GNSS and DR.
4. DR error is only 6m/km (0.6%) of 4.9km distance traveled.
5. Provide true 3D navigation data with/without GNSS signals.
6. 3 years warranty
7. The highest C/P value of car DR navigation module."
EOS Arrow Lite,Eos Positioning Systems,NA,NA,NA,0.042,0.125,0.084,0.372,NA,,5,12,NA,Field replaceable Lithium-Ion pack,NA,15,NA,NA,NA,,-40,85,95% non-condensing,Waterproof,IP-67,Y,NA,,12,12,GPS,WAAS; EGNOS; MSAS and GAGAN,L1; C/A code; with carrier phase smoothing,1,Y,NA,,0.6,NA,NA,NA,0.03,NA,NA,NA,NA,NA,60,NA,NA,,NA,NA,NA,NA,,Mini USB,NA,NA,Y,,NA,NA,NA,NA,,Optional,NA,NA,NA,NA,Yes,NA,,"The Arrow Lite incorporates Bluetooth∂© technology that easily works with Android; iOS and Windows∂© devices.

Supports Esri and other Mobile GIS software"
EOS Arrow 100,Eos Positioning Systems,NA,NA,NA,0.042,0.125,0.084,0.372,Re-enforced Nylon & ABS,,4.5,12,NA,Battery,12VDC,10,FCC; CE and Lead-free,NA,NA,,-55,70,95% non-condensing,Waterproof; IP-67,NA,Y,NA,,61,61,12 GPS; 12 GLONASS; 22 BeiDou; (Galileo & QZSS; TBA),WAAS; EGNOS; MSAS; GAGAN (3 channels),L1 GPS; G1 GLONASS,1,Y,NA,,0.6,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,RTCM,,NA,NA,NA,NA,,USB 2.0,NA,Y,Y,,NA,NA,NA,NA,,RTCM SC-104,NA,NA,NMEA-0183,NA,Y,NA,,The Arrow 100 is designed specifically to use with a variety of mobile devices; including your smartphone; tablet or notebook computer. The Arrow 100 incorporates Bluetooth that works with Android; iOS and Windows; making it obsolete proof.
EOS Arrow 200,Eos Positioning Systems,NA,NA,NA,0.042,0.125,0.084,0.372,NA,,4.5,15,NA,battery,12VDC,8.5,FCC; Lead-free and CE,NA,NA,,-55,70,95% non-condensing,Waterproof; IP-67,NA,Y,NA,,372,372,GPS; GLONASS; BeiDou; Galileo and QZSS,3 Satellite parallel tracking  WAAS/EGNOS/MSAS/GAG,GPS L1/L2 GPS & RTK with carrier phase,1,Y,NA,,0.6,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,RTCM 2.x; 3.x,,NA,NA,NA,NA,,USB 2.0,NA,Y,Y,,NA,NA,NA,NA,,2.x and 3.x,CMR & CMR+,NA,NMEA 0183,NA,NA,NA,,"The Arrow 200 is the worldÉ??s first GNSS receiver able to
provide 1cm real-time accuracy on your Android; iOS
and Windows mobile device."
FGS 1,geo-FENNEL FGS,NA,NA,NA,0.075,0.158,0.158,0.95,NA,,5,27,2.85,Li-Ion 1800 mAh,yes,8,CE; FCC,yes,yes,,-40,65,100% condensation,IP 67 (withstands 1m submersion),Yes (survives a 2 m pole drop),Y,Y,,256,256,GPS: L1; L2; L5 / GLONASS L1/L2 / BeiDou B1; B2; B3 /  Galileo; but not activated,WAAS; EGNOS; MSAS,Full carrier phase; C/A; P; C,2,Y,Y,,0.25,1,0.001,0.5,0.1,0.5,0.0025,0.5,0.001,0.5,NA,NA,RTCM 2.x; 3.x,,internal memory; Mini SD-Card,256,geo-FENNEL raw data,NA,,Radio modem; bluetooth; Serial port (7 Pin Lemo),Y,NA,Y,,Tx/Rx with full frequency rang from 410 É?? 4702 MHz,yes,no,no,,2.x and 3.x,CMR and CMR+ (GPS only),NA,NMEA-0183 GSV,RMC; HDT; VHD; GGA; GSA; ZDA; VTG; GST; PJK; PTNL,L1 C/A; L1/L2P; L5,Desktop software; hand controller,,NA
G3100-R2,TI Asahi,NA,NA,2014,0.099,0.198,0.198,1.4,PC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-30,70,95% non-condensing,IP67,NA,NA,NA,,136,27,GPS; GLONASS; BeiDou; and SBAS,WAAS; EGNOS,NA,1.2,Y,NA,,0.35,NA,0.01,1,NA,NA,0.002,0.5,NA,NA,7,NA,NA,,NA,NA,NA,NA,,SD Card; RS-232 /422 Seria; Radio; GSM; Event Input,NA,N,Y,,NA,NA,NA,NA,,Ver 2.2; 2.3; 3.0; 3.1,CMR2.0; CMR+,NA,NMEA 0183 V 2.30,NA,NA,NA,,"The G3100-R2 features the XXB2 GPS/GLONASS/BEIDOU dual frequency receiver.
The XXB2 engine includes RAIM and provides outstanding performance for Survey and GIS applications."
AsteRx4 OEM,Septentrio,NA,NA,2015,NA,NA,NA,0.06,OEM board,,NA,NA,1.6,NA,NA,NA,NA,NA,NA,,-40,85,NA,NA,NA,NA,NA,,544,NA,GLONASS; Galileo; BeiDou,EGNOS; WAAS; MSAS; GAGAN; SDCM,NA,1.2,Y,NA,,0.4,NA,0.006,0.5,NA,NA,NA,NA,NA,NA,7,NA,VRS; FKP; PRS; RTCM3,,NA,NA,NA,NA,,NA,NA,Y,Y,,NA,NA,NA,NA,,RTCM2; RTCM3,CMR; CMR+,NA,version 2.3,NA,NA,NA,,"É?Ω	Unique interference mitigation capabilities: 3 notch filters for inband interference  and chirp jammer mitigation
É?Ω	Septentrio GNSS+ algorithms for robust industrial performance
É?Ω	Dual L-band channel
É?Ω	Easy to integrate; fully documented interface language
É?Ω	Low & scalable power consumption"
Settop M1,Settop Survey,NA,NA,NA,0.035,0.138,0.138,0.6,NA,,NA,NA,12.8,NA,12 - 30V,NA,NA,NA,NA,,-40,75,NA,IP-67,IEC 68-2-27,NA,NA,,220,220,"GPS: Simultaneous L1 C/A; L2E;L2C; L5.
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P.

GIOVE-A: Simultaneous L1 BOC; E5A; E5B; E5AltBOC1.
GIOVE-B: Simultaneous L1 CBOC; E5A; E5B; E5AltBOC1.

GALILEO: Disabled2.",Simultaneous L1 C/A; L5,C/A code; P code; C code,NA,Y,Y,,0.25,1,NA,NA,0.008,1,NA,NA,NA,NA,10,NA,CMR; CMR+; RTCM 2.1; 2.2; 2.3; 3.0; 3.1,,internal,1000,internal + MicroSD card slot,NA,,"1 RS232/USB Host Event port; PPS Power In/Out.
2 RS232/USB OTG port Power In/Out.
1 TNC connector for GPS antenna.
1 TNC connector for radio antenna.
1 FME connector for GSM antenna.
1 Slot SIM card.",Y,Y,Y,,external,internal,UMTS,NA,,2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,NMEA-0183 GSV,AVR; RMC; HDT; VGK; VHD; ROT; GGK; GGA; GSA; ZDA;,NA,NA,,The M1 has been designed to be configured via a web browser. Supports WIFI & Bluetooth 2.0 + ERD (Enhanced Data Rate) wireless technology.Thereby; it is possible to add new applications to the equipment on the basis of the specific requirements of a project. Contact SETTOP for the development of new applications to be embedded in the equipment.
Kronos 100 GPS System,Horizon,NA,NA,NA,NA,NA,NA,0.6,NA,,6,10,1.5,Yes; 2 batteries,NA,16,NA,NA,NA,,-40,70,NA,Dustproof and sand-proof,NA,NA,NA,,12,12,GPS,NA,L1; C/A code,NA,NA,N,,NA,NA,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,,internal,4000,NA,NA,,High speed USB,N,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA
Kronos 200M GNSS system,Horizon,NA,NA,NA,0.096,0.186,NA,1.2,NA,,7.2,7.2,3.8,Y,NA,4,NA,NA,NA,,-25,60,100%,Y,Designed to survive a 2m pole drop,NA,NA,,220,220,"GPS: L1 C/A; L2E; L2C; L5

GLONASS:  L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P

COMPASS: B1; B2

GALILEO: L1 BOC; E5A; E5B; E5AltBOC

QZSS: L1 C/A; L1 SA1F; L2C; L5

GIOVE-A: L1 BOC; E5A; E5B; E5AltBOC1

GIOVE-B: L1 CBOC; E5A; E5B; E5AltBOC1",L1 C/A; L5,C/A code,1,Y,Y,,0.25,1,0.003,1,0.008,1,0.003,1,NA,NA,10,NA,CMRx; CMR+ & VRS (optional).,,internal,4000,NA,NA,,"Connectors I/O: 9-pins serial port. 
Multicable with USB interface.
Internal radio.  
SIMENS MC75i unit for GSM/GPRS communication.",NA,NA,Y,,Internal and external,internal,NA,NA,,RTCM 2.1; 2.3; 3.0; 3.1;,CMRx; CMR+,NA,0183 GSV,NA,Y,NA,,NA
Kronos 200 GNSS system,Horizon,NA,NA,NA,0.096,0.186,NA,1.2,NA,,7.2,7.2,3.8,battery,NA,4,NA,NA,NA,,-25,60,100%,Yes,Yes,NA,NA,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P

GIOVE-A: Simultaneous L1 BOC; E5A; E5B; E5AltBOC1
GIOVE-B: Simultaneous L1 CBOC; E5A; E5B; E5AltBOC1",Simultaneous L1 C/A; L5,full carrier phase; C/A code; P code; C code,1,Y,NA,,0.25,1,0.003,1,0.008,1,0.003,1,0.008,1,60,22,CMR+; CMRx; RTCM 2.1; RTCM 2.3; RTCM 3.0; RTCM 3.1,,internal,NA,NA,NA,,"GSM/GPRS; Single band operation at 800 MHz; Dual band operation at 900 MHz and 1800 MHz;Tri-band operation at 800 MHz; 900 MHz; 1800 

Connectors I/O: 9-pins serial port (baud rate up to 115.200kbps) and 5-pins LEMO interfaces. Multicable with USB interface for connecting with PC.",Y,NA,Y,,internal,external,NA,NA,,2.1; 2.3; 3.0; 3.1,CMR+; CMRx,NA,(NMEA-0183 GSV,AVR; RMC; HDT; VGK; VHD; ROT; GGK; GSA; ZDA; VTG;,NA,NA,,NA
Kronos 300 GNSS RTK Sytem,Horizon,NA,NA,NA,0.122,0.168,0.165,1.85,NA,,NA,NA,NA,7.2,7.2,18,NA,NA,NA,,-45,60,100%,IP67,2m drop against hard surface,NA,NA,,220,220,"GPS: Simultaneous L1 C/A; L2E; L2C; L5
GLONASS: Simultaneous L1 C/A; L1 P; L2 C/A (GLONASS M Only); L2 P
GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC1
COMPASS: B1;B2
QZSS: L1 C/A; L1 SAIF;L2C; L5",SBAS: Simultaneous L1 C/A; L5;,C/A code; P code; C code,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,1,NA,NA,8,20,CMR+; CMRx; RTCM 2.1; RTCM 2.3; RTCM 3.0; RTCM 3.1,,internal,NA,NA,NA,,"Connectors I/O: 9-pins serial port (baud rate up to 115.200kbps).
Multicable with USB interfaces for connecting with PC.",Y,NA,Y,,internal,External cellphone support for GPRS/GSM (2G defaul,NA,NA,,2.1; 2.3; 3.0; 3.1,CMR+; CMRx,Yes,NMEA-0183 GSV,AVR; RMC; HDT; VGK; VHD; ROT; GGK; GSA; ZDA; VTG;,NA,NA,,NA
AsteRx-m UAS,Septentrio,NA,NA,2015,NA,0.475,0.7,0.05,board,,6,30,0.7,NA,6-30V,NA,NA,NA,NA,,-40,85,NA,NA,NA,Y,Y,,136,NA,GPS; GLONASS,EGNOS; WAAS; GAGAN; MSAS; SDCM,position; optionally raw data output (code; phase),1.2,Y,NA,,0.4,NA,NA,NA,0.006,0.5,NA,NA,0.006,0.5,7,NA,VRS; FKP; PRS; RTCM3,,Micro-SD,2000,Raw data,NA,,"3 hi-speed serial ports (plug-compatible with Pixhawk & Ardupilot)
- Full speed USB (micro USB)
- Event marker for camera trigger synchronisation",Y,Y,N,,NA,NA,NA,NA,,RTCM2; RTCM3,CMR; CMR+,NA,4.1,Septentrio Binary Format,N,command-line interface; PC software,,"Built and designed for UAS/UAV/drones
CM accuracy for less than 700mW
Camera shutter syncronization
Plug compatible with Pixhawk & ArduPilot"
DUO-G3D,Javad GNSS,NA,NA,2008,0.1,NA,0.12,0.12,NA,,4.5,40,NA,NA,NA,NA,NA,NA,NA,,-35,75,NA,NA,NA,Y,Y,,216,216,GPS L1/L2/L2C; GLONASS L1/L2; Galileo E1,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; RS422; CAN; USB; Ethernet,Y,Y,Y,,Y,Y,NA,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,N,PC software,,Duo-G3D is ideal for heading applications. Dual frequency GPS and GLONASS can provide very fast and reliable solutions due to very short baseline between antennas and the fact that typical applications are in open fields.
DUO-G2D,Javad GNSS,NA,NA,2008,0.1,NA,0.08,0.09,NA,,4.5,40,NA,NA,NA,NA,NA,NA,NA,,-35,75,NA,NA,NA,Y,Y,,216,24,GPS L1/L2/L2C; Galileo E1; SBAS,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; RS422; USB; CAN; Ethernet,Y,Y,Y,,Y,Y,NA,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,N,PC software,,Duo-G2D is ideal for heading applications. Dual frequency GPS alone can provide very fast and reliable solutions due to very short baseline between antennas and the fact that typical applications are in open fields.
ProFlex 800,Spectra Precision,NA,NA,2012,0.076,0.2,0.215,2.1,Aluminium,,9,36,5,Li-ion battery: 32.5Wh (7.4Vx4.4Ah),Y,6.5,FCC; CE,Y,NA,,-30,65,100% condensing,IP67,MIL-STD 810F,Y,NA,,120,120,L1/L2/L5; GPS/GLONASS/Galileo,WAAS; EGNOS; MSAS; GAGAN; QZSS,C/A; P; C,3,Y,NA,,0.25,1,0.01,1,0.01,1,0.003,0.5,0.01,1,2,40,VRS; FKP; MAC; RTCM2.3/3.1,,Internal; USB; or external hard drive,128,Custom data format,OLED screen + 3 keys keyboard,,1 USB 2.0 host and device; 1 RS232/RS422 port; 2 RS232; Ethernet; External clock reference input,Y,Y,Y,,Internal,Internal,External,Internal,,version 2.3; 3.1,CMR; CMR+,ATOM; DBEN; LRK,NMEA 0183,NA,N,Web interface,,Flexible; rugged; high-performance GNSS receiver with embedded Z-Blade technology; delivering precise real-time positioning.
